iter	Passed	Remaining
0	73	512827
1	78	274727
2	83	193635
3	87	153564
4	92	129603
5	97	113450
6	102	102153
7	106	93452
8	111	86705
9	116	81338
10	121	76907
11	125	73233
12	131	70747
13	137	68443
14	142	66145
15	146	64035
16	151	62270
17	156	60588
18	163	59947
19	170	59348
20	176	58706
21	183	58066
22	187	57010
23	192	55987
24	197	55084
25	202	54205
26	206	53408
27	211	52653
28	215	51913
29	220	51288
30	225	50682
31	230	50134
32	235	49625
33	240	49312
34	245	48856
35	250	48409
36	254	47978
37	259	47559
38	264	47181
39	269	46873
40	275	46767
41	282	46793
42	289	46808
43	295	46742
44	300	46495
45	305	46180
46	310	45904
47	315	45638
48	319	45370
49	324	45111
50	329	44864
51	333	44617
52	338	44385
53	343	44154
54	347	43932
55	352	43726
56	357	43509
57	362	43332
58	366	43171
59	371	42994
60	376	42821
61	381	42661
62	385	42479
63	390	42325
64	395	42145
65	399	41998
66	404	41855
67	409	41715
68	413	41579
69	418	41432
70	423	41334
71	428	41205
72	432	41082
73	437	40974
74	442	40865
75	447	40772
76	452	40662
77	456	40548
78	461	40456
79	466	40391
80	474	40507
81	480	40557
82	487	40641
83	494	40716
84	499	40631
85	504	40561
86	509	40497
87	514	40399
88	519	40309
89	524	40244
90	529	40173
91	533	40088
92	538	39987
93	543	39916
94	548	39832
95	552	39754
96	557	39665
97	562	39588
98	567	39536
99	571	39453
100	576	39374
101	581	39300
102	585	39223
103	590	39148
104	595	39075
105	599	39021
106	604	38950
107	609	38882
108	614	38827
109	618	38762
110	623	38697
111	628	38638
112	632	38572
113	637	38512
114	642	38454
115	647	38402
116	653	38445
117	658	38394
118	663	38341
119	669	38401
120	676	38452
121	683	38517
122	689	38548
123	694	38495
124	698	38442
125	703	38391
126	708	38342
127	713	38293
128	717	38241
129	722	38191
130	728	38175
131	733	38147
132	737	38099
133	742	38054
134	747	38012
135	752	37962
136	756	37913
137	761	37856
138	766	37811
139	770	37766
140	775	37720
141	780	37675
142	784	37628
143	789	37584
144	794	37539
145	798	37500
146	803	37451
147	808	37410
148	812	37361
149	817	37323
150	821	37283
151	826	37250
152	832	37245
153	836	37201
154	841	37164
155	846	37124
156	850	37083
157	855	37047
158	860	37038
159	867	37074
160	873	37111
161	879	37142
162	886	37169
163	891	37140
164	895	37110
165	901	37094
166	905	37065
167	910	37025
168	915	36993
169	919	36959
170	925	36944
171	929	36913
172	934	36894
173	939	36861
174	944	36827
175	949	36796
176	953	36762
177	958	36732
178	962	36690
179	967	36655
180	972	36636
181	977	36603
182	981	36570
183	986	36538
184	991	36507
185	995	36481
186	1000	36449
187	1005	36421
188	1009	36395
189	1014	36361
190	1019	36335
191	1023	36307
192	1028	36276
193	1033	36248
194	1037	36217
195	1042	36192
196	1047	36163
197	1051	36132
198	1056	36118
199	1063	36155
200	1070	36196
201	1076	36243
202	1083	36266
203	1088	36251
204	1093	36233
205	1097	36208
206	1102	36178
207	1107	36155
208	1112	36144
209	1117	36116
210	1121	36086
211	1126	36057
212	1130	36034
213	1135	36010
214	1140	35983
215	1145	35963
216	1149	35936
217	1154	35915
218	1159	35895
219	1163	35869
220	1170	35901
221	1175	35881
222	1179	35857
223	1184	35830
224	1189	35812
225	1194	35794
226	1199	35774
227	1203	35750
228	1208	35732
229	1213	35715
230	1218	35705
231	1223	35680
232	1227	35658
233	1232	35636
234	1237	35613
235	1241	35588
236	1246	35568
237	1251	35551
238	1257	35576
239	1264	35605
240	1270	35639
241	1277	35661
242	1282	35675
243	1287	35658
244	1292	35641
245	1297	35622
246	1302	35600
247	1306	35579
248	1311	35560
249	1316	35537
250	1320	35515
251	1327	35546
252	1333	35560
253	1338	35540
254	1343	35525
255	1347	35508
256	1352	35490
257	1357	35467
258	1361	35446
259	1366	35425
260	1372	35436
261	1378	35461
262	1384	35466
263	1389	35450
264	1394	35432
265	1399	35418
266	1403	35395
